12, 12, 12, #0c0c0c
Contrast 1.38:, FG #16c60c, on, BG #3a96dd
Contrast 1.35:, FG #c50f1f, on, BG #0037da
Contrast 1.35:, FG #b4009e, on, BG #767676
Contrast 1.35:, FG #767676, on, BG #b4009e
Contrast 1.35:, FG #0037da, on, BG #c50f1f
Contrast 1.34:, FG #c50f1f, on, BG #767676
Contrast 1.34:, FG #b4009e, on, BG #0037da
Contrast 1.34:, FG #767676, on, BG #c50f1f
Contrast 1.34:, FG #0037da, on, BG #b4009e
Contrast 1.33:, FG #767676, on, BG #13a10e
Contrast 1.33:, FG #61d6d6, on, BG #16c60c
Contrast 1.33:, FG #16c60c, on, BG #61d6d6
Contrast 1.33:, FG #13a10e, on, BG #767676
Contrast 1.32:, FG #c50f1f, on, BG #881798
Contrast 1.32:, FG #881798, on, BG #c50f1f
Contrast 1.31:, FG #c19c00, on, BG #13a10e
Contrast 1.31:, FG #b4009e, on, BG #881798
Contrast 1.31:, FG #881798, on, BG #b4009e
Contrast 1.31:, FG #13a10e, on, BG #c19c00
Contrast 1.24:, FG #3b78ff, on, BG #3a96dd
Contrast 1.24:, FG #3a96dd, on, BG #3b78ff
Contrast 1.22:, FG #c19c00, on, BG #3a96dd
Contrast 1.22:, FG #3a96dd, on, BG #c19c00
Contrast 1.21:, FG #e74856, on, BG #3a96dd
Contrast 1.21:, FG #3a96dd, on, BG #e74856
Contrast 1.18:, FG #e74856, on, BG #767676
Contrast 1.18:, FG #767676, on, BG #e74856
Contrast 1.15:, FG #767676, on, BG #3b78ff
Contrast 1.15:, FG #3b78ff, on, BG #767676
Contrast 1.15:, FG #3b78ff, on, BG #13a10e
Contrast 1.15:, FG #13a10e, on, BG #3b78ff
Contrast 1.14:, FG #c19c00, on, BG #16c60c
Contrast 1.14:, FG #16c60c, on, BG #c19c00
Contrast 1.12:, FG #e74856, on, BG #13a10e
Contrast 1.12:, FG #13a10e, on, BG #e74856
Contrast 1.08:, FG #cccccc, on, BG #61d6d6
Contrast 1.08:, FG #61d6d6, on, BG #cccccc
Contrast 1.07:, FG #3a96dd, on, BG #13a10e
Contrast 1.07:, FG #13a10e, on, BG #3a96dd
Contrast 1.03:, FG #f9f1a5, on, BG #f2f2f2
Contrast 1.03:, FG #f2f2f2, on, BG #f9f1a5
Contrast 1.03:, FG #e74856, on, BG #3b78ff
Contrast 1.03:, FG #3b78ff, on, BG #e74856
Contrast 1.02:, FG #881798, on, BG #0037da
Contrast 1.02:, FG #0037da, on, BG #881798
Contrast 1.01:, FG #c50f1f, on, BG #b4009e
Contrast 1.01:, FG #b4009e, on, BG #c50f1f
